"ID";"Торгівельне найменування";"Міжнародне непатентоване найменування";"Форма випуску";"Умови відпуску";"Склад (діючі)";"Фармакотерапевтична група";"Код АТС 1";"Код АТС 2";"Код АТС 3";"Заявник: назва українською";"Заявник: країна";"Заявник: адреса";"Кількість виробників";"Виробник 1: назва українською";"Виробник 1: країна ";"Виробник 1: адреса";"Виробник 2: назва українською";"Виробник 2: країна ";"Виробник 2: адреса";"Виробник 3: назва українською";"Виробник 3: країна ";"Виробник 3: адреса";"Виробник 4: назва українською";"Виробник 4: країна ";"Виробник 4: адреса";"Виробник 5: назва українською";"Виробник 5: країна ";"Виробник 5: адреса";"Номер Реєстраційного посвідчення";"Дата початку дії";"Дата закінчення";"Тип ЛЗ";"ЛЗ біологічного походження";"ЛЗ рослинного походження";"ЛЗ-сирота";"Гомеопатичний ЛЗ";"Тип МНН";"Дострокове припинення";"Дострокове припинення: останній день дії";"Дострокове припинення: причина";"URL інструкції";"Термін придатності";"Термін придатності: значення";"Термін придатності: одиниця вимірювання"
"AEE9B1AD6E1CED45C2258CAC003A9A21";"НЕОКАРДИЛ";"Comb drug";"капсули; по 10 капсул у блістері; 3 блістери в упаковці";"без рецепта";"1 капсула містить: глоду листя і квіток екстракт сухий (Crataegi folii cum flore extractum siccum )* – 150 мг, гінкго екстракт сухий (Ginkgonis extractum siccum) – 50 мг, пуерарії екстракт сухий (Puerariae extractum siccum) – 50 мг";"Кардіологічні препарати.";"C01EB";"";"";"ТОВ ""ВАЛАРТІН ФАРМА""";"Україна";"";"1";"ТОВ ""ВАЛАРТІН ФАРМА""";"Україна";"";;;;;;;;;;;;;UA/11357/01/01;02.12.2020;"необмежений";Звичайний;Ні;Так;Ні;Ні;Комбінований;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/54947B96535799FC42258CAF0042F4EB/$file/UA113570101_AEE9.mht";"3 роки";3;"рік"
"E98F25F85BC196DDC22589CD0023D0E4";"НЕОМІДАНТАН";"Amantadine";"капсули по 100 мг, по 10 капсул у блістері, по 5 блістерів у пачці";"за рецептом";"1 капсула містить амантадину гідрохлориду 100 мг";"Допамінергічні засоби, похідні адамантану.";"N04BB01";"";"";"АТ ""Олайнфарм""";"Латвія";"";"1";"АТ ""Олайнфарм""";"Латвія";"";;;;;;;;;;;;;UA/6205/01/01;12.06.2017;"необмежений";Звичайний;Ні;Ні;Ні;Ні;Моно;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/2D10D6646B587D86422589D30034594E/$file/UA62050101_E98F.mht";"5 років";5;"рік"
"15847B785B7C82BDC2258BCB002AFF46";"НЕОМІЦИН";"Neomycin";"аерозоль для застосування на шкіру, суспензія, 11,72 мг/г; по 16 г або по 32 г суспензії в аерозольному балоні з клапаном та розпилювальною головкою з поліпропіленовим ковпачком; по 1 балону в картонній коробці";"за рецептом";"1 г суспензії містить неоміцину 11,72 мг у формі неоміцину сульфату";"Антибіотики та хіміотерапевтичні препарати для застосування у дерматології. Антибіотики для місцевого застосування.";"D06AX04";"";"";"Тархомінський фармацевтичний завод ""Польфа"" АТ";"Польща";"";"1";"Тархомінський фармацевтичний завод ""Польфа"" АТ";"Польща";"";;;;;;;;;;;;;UA/15600/01/01;06.08.2021;"необмежений";Звичайний;Ні;Ні;Ні;Ні;Моно;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/93EC14B61FF8DC6442258BCF002CAD87/$file/UA156000101_1584.mht";"3 роки";3;"рік"
"B7F31B9DD4C3DA71C2258BB3002600A5";"НЕОМІЦИН ПЛЮС";"Comb drug";"мазь по 10 г або 20 г у тубі; по 1 тубі у коробці з картону";"без рецепта";"1 г препарату містить бацитрацину цинку 250 МО; неоміцину сульфату 5000 МО";"Антибіотики для місцевого застосування.";"D06AX";"";"";"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОРПОРАЦІЯ ""ЗДОРОВ’Я""";"Україна";"";"1";"Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""";"Україна";"";;;;;;;;;;;;;UA/17830/01/01;09.10.2024;"необмежений";Звичайний;Ні;Ні;Ні;Ні;Комбінований;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/E90E58E58D529F6A42258BB60039DF74/$file/UA178300101_B7F3.mht";"2 роки";2;"рік"
"99BDD234302EF893C2258AC5002A790E";"НЕОМІЦИН ПЛЮС";"Comb drug";"порошок нашкірний по 10 г у контейнері або у флаконі; по 1 контейнеру або флакону у коробці з картону";"без рецепта";"1 г препарату містить бацитрацину цинку 250 МО, неоміцину сульфату 5000 МО";"Антибіотики для місцевого застосування.";"D06AX";"";"";"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОРПОРАЦІЯ ""ЗДОРОВ’Я""";"Україна";"";"1";"Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""";"Україна";"";;;;;;;;;;;;;UA/17830/02/01;18.11.2020;"18.11.2025";Звичайний;Ні;Ні;Ні;Ні;Комбінований;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/1E8CCC33DACBE368C2258ACF004A05FC/$file/UA178300201_99BD.mht";"2 роки";2;"рік"
"86B62BB0EF009AA5C2258CAB0032274C";"НЕОМІЦИН ПЛЮС";"Comb drug";"порошок нашкірний; по 10 г у контейнері або у флаконі; по 1 контейнеру або флакону у коробці з картону";"без рецепта";"1 г препарату містить бацитрацину цинку 250 МО, неоміцину сульфату 5000 МО";"Антибіотики для місцевого застосування.";"D06AX";"";"";"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОРПОРАЦІЯ ""ЗДОРОВ’Я""";"Україна";"";"1";"Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""";"Україна";"";;;;;;;;;;;;;UA/17830/02/01;12.06.2025;"необмежений";Звичайний;Ні;Ні;Ні;Ні;Комбінований;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/141510A72B50BCF342258CAF00436662/$file/UA178300201_86B6.mht";"2 роки";2;"рік"
"CC575CCDAFB93FC3C22587830042DFA1";"НЕОМІЦИНУ СУЛЬФАТ";"Neomycin";"порошок (субстанція) у потрійних поліетиленових пакетах для фармацевтичного застосування";"";"неоміцину сульфату не менше 680 МО/мг (суха речовина)";"Субстанції.";"";"";"";"Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""";"Україна";"";"1";"ІЧАН САНЬСЯ ФАРМАСЬЮТІКАЛ КО., ЛТД.";"Китай";"";;;;;;;;;;;;;UA/16217/01/01;03.11.2021;"необмежений";Звичайний;Ні;Ні;Ні;Ні;;Ні;;;;"термін переконтролю - 4 роки";4;"рік"
"197BC9D5165A3597C2258C0D002C2F26";"НЕОПАКС®";"Imatinib";"таблетки, вкриті плівковою оболонкою, по 100 мг по 10 таблеток у блістері; по 1, 6 або 12 блістерів у картонній коробці";"за рецептом";"1 таблетка, вкрита плівковою оболонкою, містить 100 мг іматинібу (у вигляді іматинібу мезилату)";"Антинеопластичні засоби. Інгібітори тирозинкінази BCR-ABL. Іматиніб.";"L01EA01";"";"";"КРКА, д.д., Ново место";"Словенія";"";"2";"КРКА-ФАРМА д.о.о. (виробник, відповідальний за виробництво ""in bulk"", первинне та вторинне пакування, контроль серії, випуск серії)";"Хорватія";"";"КРКА, д.д., Ново место (виробник, відповідальний за вторинне пакування)/КРКА, д.д., Ново место (виробник, відповідальний за контроль серії, випуск серії)";"Словенія";"";;;;;;;;;;UA/14939/01/01;16.03.2021;"необмежений";Звичайний;Ні;Ні;Ні;Ні;Моно;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/AC6ACEB51C4B9F19C2258C11002BE3FA/$file/UA149390101_197B.mht";"3 роки";3;"рік"
"00DBAF8259C8091DC2258C0D002C1C55";"НЕОПАКС®";"Imatinib";"таблетки, вкриті плівковою оболонкою, по 400 мг по 10 таблеток у блістері; по 1, 3 або 6 блістерів у картонній коробці";"за рецептом";"1 таблетка, вкрита плівковою оболонкою, містить 400 мг іматинібу (у вигляді іматинібу мезилату)";"Антинеопластичні засоби. Інгібітори тирозинкінази BCR-ABL. Іматиніб.";"L01EA01";"";"";"КРКА, д.д., Ново место";"Словенія";"";"2";"КРКА-ФАРМА д.о.о. (виробник, відповідальний за виробництво ""in bulk"", первинне та вторинне пакування, контроль серії, випуск серії)";"Хорватія";"";"КРКА, д.д., Ново место (виробник, відповідальний за вторинне пакування)/КРКА, д.д., Ново место (виробник, відповідальний за контроль серії, випуск серії)";"Словенія";"";;;;;;;;;;UA/14939/01/02;16.03.2021;"необмежений";Звичайний;Ні;Ні;Ні;Ні;Моно;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/5ADB6F7F89972ABDC2258C11002BE3A4/$file/UA149390102_00DB.mht";"3 роки";3;"рік"
"DBD2FB8291E713B3C22588F6003F3877";"НЕОСИНУС®";"Oxymetazoline";"спрей назальний, дозований, 0,05 %, по 10 г у флаконі з розпилювачем, по 1 флакону у пачці";"без рецепта";"оксиметазоліну гідрохлорид; 100 г препарату містять оксиметазоліну гідрохлориду у перерахуванні на 100 % речовину 0,05 г;";"Протинабрякові та інші препарати для місцевого застосування при захворюваннях порожнини носа. Симпатоміметики, прості препарати. Оксиметазолін.";"R01AA05";"";"";"ТОВ ""ВАЛАРТІН ФАРМА""";"Україна";"";"1";"Товариство з обмеженою відповідальністю ""Мікрофарм""";"Україна";"";;;;;;;;;;;;;UA/19722/01/01;03.11.2022;"03.11.2027";Звичайний;Ні;Ні;Ні;Ні;Моно;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/79340A6D9A9E8DB2422588FB002A7F0A/$file/UA197220101_DBD2.mht";"3 роки.";3;"рік"
